Unnamed: 0,Word Spacing,Size,Pen Pressure,Baseline
559,390.9144405,0.7900384183,150,STRAIGHT
560,388.928735,0.5092534188,173,STRAIGHT
561,309.24761,1.802467695,195,STRAIGHT
562,446.5280778,0.4896695872,157,STRAIGHT
563,524.5077269,0.6705034027,145,STRAIGHT
564,861.4609117,0.5917016474,167,STRAIGHT
565,546.6968492,1.774599211,195,STRAIGHT
566,523.3873582,0.4800901505,199,STRAIGHT
567,155.510019,0.4093030701,185,STRAIGHT
568,586.5057544,1.232073378,119,STRAIGHT
569,296.4127091,0.4670180729,82,STRAIGHT
570,64.16812352,1.213751056,85,STRAIGHT
571,178.4410564,0.4356595946,109,DESCENDING
